,M1,M2,M3,M4
1977-Q3,6.233524436,6.514002954,6.468528062,5.920356517
1977-Q4,6.164431812,6.184510204,6.086730243,6.061894889
1978-Q1,6.581596569,6.839482817,6.750446325,6.61688141
1978-Q2,6.456939229,6.664238822,6.356654776,6.592298565
1978-Q3,6.901879154,7.24070166,7.050467635,7.015125952
1978-Q4,7.374928472,7.851680005,7.597749421,7.66707292
1979-Q1,7.301033752,7.73748203,7.21604603,7.931465053
1979-Q2,7.620501354,8.276861532,7.682977669,8.350558479
1979-Q3,8.25094366,9.139634146,8.518542179,8.862556959
1979-Q4,8.759858301,9.460659893,8.966719084,9.330576943
1980-Q1,8.636675314,9.086456398,8.476358626,9.555841472
1980-Q2,8.957563591,9.67433765,8.975184229,9.830799393
1980-Q3,8.709122559,8.523470838,8.484704082,8.720234206
1980-Q4,8.890038044,8.7965916,8.820248356,8.818796328
1981-Q1,9.744172636,10.46196748,10.07295657,10.16074677
1981-Q2,10.21704643,10.70473436,10.37293641,10.65166171
1981-Q3,9.847787854,10.22060354,9.529368614,10.14418968
1981-Q4,9.277266871,9.234170086,8.820700409,9.398026716
1982-Q1,8.306157719,7.589020503,7.614142329,8.023621149
1982-Q2,7.140347355,6.294099759,6.286594219,6.581190086
1982-Q3,6.442412165,5.560965818,5.89030719,5.695146053
1982-Q4,6.074239644,5.702470062,5.77624528,5.31595532
1983-Q1,5.293030421,4.534213648,4.759654344,4.345053356
1983-Q2,4.686168336,4.255674598,4.237575497,3.823548808
1983-Q3,4.144976515,3.595182286,3.761466014,3.348661886
1983-Q4,3.747367255,3.49697773,3.471271204,3.124858014
1984-Q1,3.360764779,3.121267535,3.114999567,2.896987298
1984-Q2,3.625227704,3.907835284,3.784770329,3.341794746
1984-Q3,3.792094604,3.9701057,3.942843223,3.619353652
1984-Q4,3.547646438,3.317941318,3.435376033,3.371911256
1985-Q1,3.481625773,3.407658219,3.449761954,3.315090834
1985-Q2,3.565974713,3.666455195,3.639732049,3.413789029
1985-Q3,3.338491311,3.160306997,3.235223732,3.162248511
1985-Q4,3.100647669,2.957456031,2.971827825,2.933774592
1986-Q1,3.003764775,2.941594987,2.965173602,2.867263133
1986-Q2,2.323581843,1.886328157,1.953213797,2.167080873
1986-Q3,2.096112791,1.858984355,1.968619353,1.909924033
1986-Q4,1.910502517,1.84171548,1.854233667,1.753680172
1987-Q1,1.888936993,1.875408722,1.9353181,1.758275542
1987-Q2,2.134493491,2.298574566,2.346900321,2.053516778
1987-Q3,2.412286574,2.635626888,2.656592989,2.39351212
1987-Q4,2.743318537,2.995106313,3.012007015,2.777342604
1988-Q1,3.020313611,3.224463366,3.251665145,3.082615534
1988-Q2,3.079806023,3.186522659,3.168143355,3.161168237
1988-Q3,3.379773814,3.645694542,3.589572,3.507683664
1988-Q4,3.841069776,4.125401536,4.163315058,3.98572923
1989-Q1,3.811664664,3.886571797,3.843854127,3.981482731
1989-Q2,4.131824262,4.379302851,4.324740957,4.338412144
1989-Q3,4.199348232,4.286098183,4.275505474,4.392222984
1989-Q4,3.738934204,3.564302021,3.476567825,3.898635155
1990-Q1,3.62955133,3.577944926,3.534706046,3.75747653
1990-Q2,3.63263808,3.713558944,3.637737276,3.766418968
1990-Q3,3.632960996,3.660783554,3.646281414,3.756802768
1990-Q4,3.801449375,3.818274125,3.911549062,3.872517368
1991-Q1,3.863681641,3.821270351,3.923954751,3.869663851
1991-Q2,3.756567557,3.588788934,3.707402244,3.688856712
1991-Q3,3.399960645,3.151745507,3.192058606,3.288122131
1991-Q4,3.237896095,3.099314375,3.131027495,3.118347628
1992-Q1,3.019422584,2.768248092,2.899287275,2.858735352
1992-Q2,2.438351578,1.992858039,2.106197528,2.216703486
1992-Q3,2.391794865,2.204093181,2.353792325,2.141920073
1992-Q4,2.12510025,1.892786455,2.014251096,1.867362182
1993-Q1,2.264393865,2.345372073,2.361409675,2.06950354
1993-Q2,2.405276021,2.483351083,2.541941436,2.261242431
1993-Q3,2.373607564,2.320842376,2.409466313,2.244379993
1993-Q4,2.504057014,2.603678621,2.611098274,2.423938562
1994-Q1,2.342437367,2.274645148,2.302155856,2.282903102
1994-Q2,2.258636864,2.185524325,2.232908662,2.207517243
1994-Q3,2.144713226,2.170556281,2.112316394,2.14352949
1994-Q4,2.08241096,2.054301552,2.077359897,2.108105123
1995-Q1,2.113020813,2.225973308,2.165048201,2.190232633
1995-Q2,2.201887533,2.283308656,2.29385155,2.302075305
1995-Q3,2.141984842,2.065320951,2.15507525,2.209057258
1995-Q4,2.073784429,2.084548412,2.067224775,2.137874426
1996-Q1,2.015263561,2.055174174,2.014109678,2.09071915
1996-Q2,1.980738752,2.003956491,1.994411685,2.059036387
1996-Q3,1.920313536,1.947072312,1.922225137,1.999417632
1996-Q4,1.721821158,1.72477506,1.64593988,1.826068642
1997-Q1,1.735593355,1.734855267,1.766626036,1.828052525
1997-Q2,1.818255931,1.942567827,1.907102936,1.923653856
1997-Q3,1.704234366,1.765963567,1.688968255,1.835272614
1997-Q4,1.782504054,1.902398877,1.854354584,1.929874064
1998-Q1,1.602222983,1.636799347,1.55110059,1.764807783
1998-Q2,1.132893893,0.939526394,0.899279803,1.275163061
1998-Q3,1.070617664,1.133688358,1.046050424,1.234228592
1998-Q4,1.086353273,1.115202175,1.143207372,1.227666628
1999-Q1,1.066415488,1.155964016,1.109185743,1.218925076
1999-Q2,1.410984158,1.709864293,1.646547955,1.586847332
1999-Q3,1.540679116,1.70123625,1.685590969,1.719218801
1999-Q4,1.527637745,1.60428415,1.568480669,1.700938529
2000-Q1,1.675934781,1.858065804,1.79048011,1.866166965
2000-Q2,1.945183665,2.152579579,2.137629857,2.141295495
2000-Q3,2.179092363,2.405359937,2.358158418,2.39072533
2000-Q4,2.470515905,2.68432325,2.674419404,2.679508523
2001-Q1,2.552047166,2.717676801,2.63938933,2.769736278
2001-Q2,2.413296036,2.315960782,2.355923774,2.587461452
2001-Q3,2.55549664,2.693545229,2.635836543,2.725018558
2001-Q4,2.229588095,2.054241314,2.081762861,2.330111977
2002-Q1,1.989191676,1.70285515,1.844854516,2.006739141
2002-Q2,1.676322904,1.4958637,1.505170816,1.650679274
2002-Q3,1.337564354,1.110388911,1.150929488,1.277980872
2002-Q4,1.458284085,1.516424409,1.524715832,1.419232984
2003-Q1,1.700891692,1.806993733,1.875405946,1.66297094
2003-Q2,2.001577182,2.193311755,2.214674125,1.986852717
2003-Q3,1.948510995,1.897698346,1.965465158,1.901355377
2003-Q4,2.056748551,2.114490112,2.130814896,2.021037473
2004-Q1,1.989530977,2.043606334,1.981472867,1.983587559
2004-Q2,2.248904583,2.432905874,2.399842428,2.276608707
2004-Q3,2.806782795,3.18159551,3.152955835,2.885815683
2004-Q4,2.869346891,3.031006195,2.959534543,2.960703244
2005-Q1,3.100341702,3.271699428,3.234617418,3.196134651
2005-Q2,3.155242973,3.269511675,3.209410201,3.256769152
2005-Q3,3.008141385,3.020625297,2.935169737,3.114448163
2005-Q4,3.333203815,3.557587525,3.490503127,3.461500845
2006-Q1,3.391387185,3.492739174,3.455275893,3.512257454
2006-Q2,3.249297362,3.277999931,3.178037105,3.377192086
2006-Q3,3.328754224,3.418034355,3.354184688,3.463959973
2006-Q4,3.088301356,3.018980838,2.972088213,3.205851792
2007-Q1,2.672531987,2.523189778,2.431202631,2.788127765
2007-Q2,3.013148918,3.15458808,3.148553134,3.134525147
2007-Q3,2.764423526,2.735213221,2.696627422,2.874479357
2007-Q4,2.408538411,2.206899193,2.212397114,2.490454919
2008-Q1,2.494979408,2.49616244,2.506993582,2.579294863
2008-Q2,1.937664895,1.688837037,1.707280266,1.996063658
2008-Q3,1.864588965,1.717379004,1.766891193,1.892917172
2008-Q4,2.207500136,2.208880681,2.374364896,2.194146339
2009-Q1,1.908903223,1.552383121,1.842025905,1.813389941
2009-Q2,1.581463543,1.014213413,1.418220125,1.333678081
2009-Q3,0.915438645,0.174723688,0.597601146,0.508575651
2009-Q4,0.19354181,-0.396873938,-0.185253846,-0.294863071
2010-Q1,0.354315172,0.229699045,0.408869847,-0.065483966
2010-Q2,0.461154006,0.567008805,0.578999783,0.123186419
2010-Q3,1.085045744,1.483138605,1.430461983,0.866848669
2010-Q4,1.571417287,1.965949929,1.90300266,1.428493852
2011-Q1,1.788915975,1.951409545,1.965438651,1.675384734
2011-Q2,1.87882723,2.131227582,1.961484037,1.800718296
2011-Q3,2.165426085,2.290165606,2.327012231,2.114992512
2011-Q4,2.314379073,2.471522847,2.426936926,2.281327054
2012-Q1,1.941166788,1.921193405,1.786545481,1.898207717
2012-Q2,2.024056599,2.130150648,2.038644568,2.001669892
2012-Q3,1.755040481,1.626908196,1.657180744,1.721934029
2012-Q4,1.611459598,1.584031245,1.533642188,1.581223011
2013-Q1,1.845819472,1.983249577,1.955664873,1.834743268
2013-Q2,1.679525455,1.637792592,1.649369051,1.664622846
2013-Q3,1.484769143,1.448864131,1.397901611,1.472197604
2013-Q4,1.429337114,1.466914551,1.404796175,1.428251313
2014-Q1,1.407708267,1.449510159,1.414087482,1.416751609
2014-Q2,1.379602586,1.451454623,1.38682035,1.401898466
2014-Q3,1.647166629,1.87500336,1.784986212,1.695604072
2014-Q4,1.58238602,1.579796846,1.601514287,1.632506521