,Inflation
1977-Q3,6.1510367
1977-Q4,6.5696465
1978-Q1,6.4454434
1978-Q2,6.8903143
1978-Q3,7.359638
1978-Q4,7.2873668
1979-Q1,7.6029596
1979-Q2,8.2201887
1979-Q3,8.7128215
1979-Q4,8.5972144
1980-Q1,8.907911
1980-Q2,8.6717962
1980-Q3,8.8484543
1980-Q4,9.6694336
1981-Q1,10.1200279
1981-Q2,9.7783675
1981-Q3,9.2360898
1981-Q4,8.2901388
1982-Q1,7.1285176
1982-Q2,6.423529
1982-Q3,6.0501698
1982-Q4,5.256121
1983-Q1,4.6398809
1983-Q2,4.0923956
1983-Q3,3.692503
1983-Q4,3.3057617
1984-Q1,3.5722322
1984-Q2,3.7413125
1984-Q3,3.4966188
1984-Q4,3.4316403
1985-Q1,3.5175508
1985-Q2,3.2904484
1985-Q3,3.0537461
1985-Q4,2.9583743
1986-Q1,2.2839388
1986-Q2,2.0613915
1986-Q3,1.8805878
1986-Q4,1.8606132
1987-Q1,2.1026912
1987-Q2,2.3779568
1987-Q3,2.7075668
1987-Q4,2.9848542
1988-Q1,3.0452104
1988-Q2,3.3467171
1988-Q3,3.8116624
1988-Q4,3.7824996
1989-Q1,4.1063199
1989-Q2,4.1750185
1989-Q3,3.7099616
1989-Q4,3.6001218
1990-Q1,3.6037598
1990-Q2,3.6045968
1990-Q3,3.7750804
1990-Q4,3.83837
1991-Q1,3.7305917
1991-Q2,3.3713007
1991-Q3,3.2087518
1991-Q4,2.9898731
1992-Q1,2.4091155
1992-Q2,2.363538
1992-Q3,2.0993202
1992-Q4,2.2381741
1993-Q1,2.3789338
1993-Q2,2.3480381
1993-Q3,2.4786375
1993-Q4,2.3180652
1994-Q1,2.235237
1994-Q2,2.1225459
1994-Q3,2.0612383
1994-Q4,2.0921635
1995-Q1,2.1809953
1995-Q2,2.1219034
1995-Q3,2.0545905
1995-Q4,1.9969256
1996-Q1,1.9630954
1996-Q2,1.9035585
1996-Q3,1.7072563
1996-Q4,1.7212617
1997-Q1,1.8034872
1997-Q2,1.6908665
1997-Q3,1.7687214
1997-Q4,1.5904644
1998-Q1,1.1277116
1998-Q2,1.0667444
1998-Q3,1.0823042
1998-Q4,1.0628429
1999-Q1,1.4021372
1999-Q2,1.5306525
1999-Q3,1.5179662
1999-Q4,1.6652366
2000-Q1,1.9331941
2000-Q2,2.1667774
2000-Q3,2.4585243
2000-Q4,2.540439
2001-Q1,2.4015122
2001-Q2,2.5442196
2001-Q3,2.2177445
2001-Q4,1.9776073
2002-Q1,1.6658691
2002-Q2,1.3296044
2002-Q3,1.4494194
2002-Q4,1.690643
2003-Q1,1.9906317
2003-Q2,1.9377956
2003-Q3,2.0461434
2003-Q4,1.9791083
2004-Q1,2.2387629
2004-Q2,2.7987989
2004-Q3,2.8618432
2004-Q4,3.0944354
2005-Q1,3.1497933
2005-Q2,3.0017271
2005-Q3,3.3291817
2005-Q4,3.3878464
2006-Q1,3.2447369
2006-Q2,3.3248445
2006-Q3,3.0826264
2006-Q4,2.6639789
2007-Q1,3.0069843
2007-Q2,2.7564906
2007-Q3,2.3984805
2007-Q4,2.4854987
2008-Q1,1.925975
2008-Q2,1.8530566
2008-Q3,2.1966611
2008-Q4,1.8973317
2009-Q1,1.5701681
2009-Q2,0.9083673
2009-Q3,0.1992532
2009-Q4,0.355737
2010-Q1,0.460233
2010-Q2,1.0747466
2010-Q3,1.5591369
2010-Q4,1.7770878
2011-Q1,1.8674687
2011-Q2,2.1555931
2011-Q3,2.3056864
2011-Q4,1.9300905
2012-Q1,2.0135639
2012-Q2,1.7433976
2012-Q3,1.5996217
2012-Q4,1.8347786
2013-Q1,1.6680268
2013-Q2,1.473082
2013-Q3,1.4178424
2013-Q4,1.3964238
2014-Q1,1.368533
2014-Q2,1.6364423
2014-Q3,1.5716659
2014-Q4,1.189142